PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;60653;60653;52975;52975-60653;11776;1319781-52975;50169971;1433302-1319781
;;60663;60663;48280;48280-60663;3269;1325070-48280;50093695;1414691-1325070
;;60660;60660;53060;53060-60660;12014;1468879-53060;50189407;1559753-1468879
;;60660;60660;53060;53060-60660;12014;1468879-53060;50021204;1188859-1468879
;;60676;1533163;53073;53073-1533163;12047;1469826-53073;50189470;1559712-1469826
;;60676;1533163;53073;53073-1533163;12048;1469829-53073;50021257;1188821-1469829
;;60673;60673;53071;53071-60673;12043;1468969-53071;50021250;1188817-1468969
;;60672;60672;42180;42180-60672;21597;1434243-42180;50021308;1188834-1434243
;;60671;60671;48283;48283-60671;3273;1469472-48283;50205685;1504268-1469472
;;60692;60692;48285;48285-60692;3277;3277-48285;50093703;1414684-3277
;;60690;60690;48228;48228-60690;3177;1469714-48228;50093586;1414750-1469714
;;60690;60690;48228;48228-60690;10175;1469711-48228;50093587;1433389-1469711
;;477030;1133858;477029;1133856-1133858;477028;1396960-1133856;50192741;1559386-1396960
;;60805;60805;43971;43971-60805;3114;1469580-43971;50192297;1559662-1469580
